,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
25,P17-19,7,647.0,26964.153013910356,10250.01753557751,7008.0,10374.72,12403.2,14878.4,16723.2,20598.0,24872.0,30998.0,39609.6,47006.29999999996,52374.8,57590.79999999996,96832.0
26,P20-22,7,523.0,26308.307839388144,10433.391292799044,6464.0,8697.6,10625.6,12318.8,15352.0,19510.0,24596.0,31364.0,39237.8,44811.2,52535.6,58796.239999999925,95636.0
27,P20-22,6,63.0,25534.73015873016,17523.33385315811,6764.0,6888.0,7014.6,7515.2,9654.4,15686.0,21624.0,29286.0,38758.4,64851.19999999998,70809.79999999996,88300.00000000009,109008.0
28,P20-22,4,1506.0,18509.882470119523,7268.511787894566,6048.0,7490.4,8592.0,9504.0,11298.0,14224.0,17524.0,21519.0,25912.0,29419.0,33689.0,43279.80000000003,113860.0
29,P20-22,5,1653.0,20923.335753176045,7841.238158759315,5248.0,9118.72,10672.0,11824.800000000001,13459.2,16160.0,19680.0,23536.0,28920.8,34518.399999999994,41701.50000000002,50685.60000000003,89600.0
30,P20-22,2,374.0,27648.76203208556,10251.280287245581,7968.0,9969.44,11606.400000000001,14004.8,16276.8,20222.25,26088.0,33502.0,40171.6,46253.2,53008.80000000001,58900.239999999976,69184.0
31,P20-22,3,719.0,24317.751043115437,11222.163304328647,6656.0,10645.76,11512.8,13035.6,14826.4,18002.0,21525.0,26816.0,37172.0,43828.8,55829.39999999989,73306.56000000006,109832.0
32,P23-25,5,2046.0,23601.066471163245,8450.869219886114,6384.0,9008.6,10734.0,12432.0,14658.0,18244.0,22226.0,27232.0,34116.0,39577.0,43872.125,48808.8,87888.0
33,P23-25,6,771.0,24243.57457846952,10297.897976182925,6128.0,8492.8,10340.0,11704.0,13820.0,17720.0,22256.0,28144.0,36816.0,43782.0,50644.25,59206.699999999764,90568.0
34,P23-25,4,1875.0,18213.76,6604.424327360999,5448.0,7019.84,8139.2,9301.6,11053.6,14064.0,17392.0,21048.0,26227.200000000004,29610.399999999994,34267.999999999985,39497.759999999995,76128.0
35,P23-25,7,290.0,26122.0,10538.829306040994,5648.0,8174.52,9552.4,11473.800000000001,13910.5,20126.0,24968.0,29756.0,39793.6,47357.75,52701.89999999997,62168.00000000006,71044.0
36,P26-28,6,266.0,25061.748120300752,10823.986215829553,7120.0,10973.6,11433.0,12716.0,14856.0,18068.0,23024.0,28713.0,37188.0,44732.0,56562.0,66139.20000000017,76960.0
37,P26-28,7,192.0,32587.96875,12721.380051624372,6960.0,10357.44,14165.2,16339.45,20358.4,24408.0,29648.0,38565.0,47825.2,58761.44999999996,68489.59999999998,73229.28000000001,76692.0
38,P26-28,5,20.0,29374.0,22870.934107451067,12320.0,12687.84,13239.6,14159.2,14738.4,16192.0,21024.0,28857.0,47552.80000000004,72441.80000000003,89938.89999999995,100437.15999999995,107436.0
39,P29+,5,89.0,30082.74157303371,14041.909316827327,8000.0,8506.88,10470.4,12099.2,14233.6,18576.0,28176.0,39612.0,47963.200000000004,52623.2,60272.99999999998,67509.60000000006,79548.0
40,P29+,6,2.0,20346.0,14925.609937285644,9792.0,10003.08,10319.7,10847.4,11902.8,15069.0,20346.0,25623.0,28789.2,29844.6,30372.3,30688.92,30900.0
41,P29+,7,13.0,52808.230769230766,31481.72654401769,14192.0,15445.76,17326.4,20460.800000000003,25459.2,29136.0,53896.0,59344.0,92249.80000000002,109281.19999999995,117499.09999999998,122429.83999999997,125717.0
42,Doxo,5,48.0,35530.395833333336,17531.83902399821,13680.0,13680.0,14151.1,16969.8,19486.4,22358.0,31168.0,42681.0,63280.8,75637.19999999998,79728.0,83385.53000000001,86629.0
43,Doxo,6,143.0,32218.174825174825,20679.219290612033,6784.0,7398.72,10149.6,11217.6,13512.0,19658.0,26784.0,40872.0,58652.799999999996,68766.80000000002,77497.19999999997,84236.24000000005,173392.0
44,Doxo,7,23.0,42625.217391304344,27061.184367275644,7264.0,9090.880000000001,11831.2,15878.4,18681.6,20944.0,41560.0,52720.0,72016.0,76067.7,98330.59999999996,114344.84000000005,125021.0
