,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
20,P19-21,1,729.0,107998.83950617284,112633.08950953021,7229.0,16458.920000000002,21397.399999999998,26485.2,34010.2,48888.0,76730.0,128096.0,195051.80000000008,278276.60000000015,389477.5999999994,567004.5200000012,1273479.0
21,P19-21,4,1469.0,67395.55207624234,65428.715322220116,6040.0,12972.08,15319.0,18544.600000000002,22696.4,33071.0,49995.0,79078.0,128292.0,161906.39999999994,225570.89999999988,357789.03999999975,919053.0
22,P22-24,7,1486.0,168334.49394347242,168422.01731034403,11570.0,23865.25,30850.0,37491.0,49220.0,75096.0,117622.5,200433.25,328784.0,460423.0,635996.0,806193.95,2205769.0
23,P22-24,6,3256.0,100874.02426289926,102124.06226152596,6918.0,13671.95,17794.5,23624.75,29827.0,45114.25,72582.0,113385.25,196442.0,276003.75,395998.375,548791.6499999993,1180598.0
24,P22-24,5,1083.0,140388.59556786704,122134.82098829075,12331.0,20859.12,24607.65,29068.2,39256.2,59388.5,103740.0,172765.0,299840.80000000016,406370.09999999986,507041.8500000002,622647.3800000001,878840.0
25,P22-24,2,772.0,163197.45466321244,144389.30116763353,10437.0,20494.94,26919.2,33805.700000000004,41814.200000000004,70719.5,120062.5,206542.25,338317.89999999997,422492.4499999999,510377.30000000034,735403.3899999995,1179008.0
26,P22-24,3,2539.0,112176.75068924774,106458.6089448833,4985.0,17161.579999999998,23890.8,30145.0,39628.8,57794.5,85143.0,131301.5,205897.40000000008,274256.0,358001.89999999997,522258.3599999997,1860923.0
27,P22-24,4,3426.0,67925.60478692352,67365.4604478462,5687.0,10649.25,13602.0,17047.5,21094.0,30944.0,49061.0,79171.0,128365.5,181746.25,250149.625,338390.5,872400.0
28,P25-27,4,2434.0,58982.923993426455,52013.40453655508,3547.0,11577.31,14666.925,17255.2,20854.5,29044.0,44420.5,71015.5,110403.40000000007,145991.3,190881.74999999994,259161.02000000043,772421.0
29,P25-27,5,2837.0,73790.48290447656,65622.2165509524,7020.0,13352.28,17355.600000000002,20533.4,25326.2,36020.0,55690.0,88254.0,136920.80000000005,187608.1999999999,238461.4999999999,333560.4399999995,962752.0
30,P25-27,6,274.0,151093.60583941606,164486.26412045964,6437.0,8784.57,15439.775,28255.45,33614.7,54797.25,97245.5,177536.25,322798.5000000002,491222.4499999981,737993.1250000003,820609.9799999997,932168.0
31,P25-27,3,1253.0,142416.73104549083,146111.78713357696,9238.0,23624.52,30741.8,35212.4,43457.2,61804.0,96865.0,158604.0,285495.8,424341.39999999985,570129.9000000001,767105.2000000003,1757736.0
32,P25-27,7,1547.0,166540.0698125404,151338.23420046113,9925.0,21028.24,27498.3,34598.4,45631.8,70802.0,123055.0,206513.0,338303.4000000001,442804.89999999874,544029.2499999999,792366.1799999991,1591775.0
33,P28-31,7,912.0,150743.41337719298,143511.0183680518,6306.0,15600.69,25437.275,30385.850000000002,41767.9,66501.25,106169.5,182682.75,298932.8,420123.6499999994,561382.4750000003,758742.6199999996,1342512.0
34,P28-31,5,5432.0,64530.00497054492,46177.05855124795,4347.0,12693.02,16229.625,19910.1,24930.9,35681.75,52771.0,79561.0,114512.70000000003,144794.8,182428.9249999999,234033.63999999905,591811.0
35,P28-31,6,2597.0,97766.13053523297,87582.49625063552,8750.0,15375.64,20186.9,24472.8,30700.4,45430.0,72188.0,118008.0,191729.4,261567.39999999994,336059.79999999964,448929.1599999999,1085681.0
36,P32-35,6,61.0,188588.04918032786,242957.11475480782,7249.0,7781.8,9137.0,10469.0,13777.0,28413.0,85511.0,256984.0,506049.0,672867.0,854087.0,1104270.1999999997,1209737.0
37,P32-35,7,902.0,266225.36031042127,227094.8378605706,14036.0,38844.57,49243.825000000004,61043.3,79534.5,119626.75,192619.0,344056.25,507566.0999999999,778151.7999999999,933417.3500000003,1164240.21,1556007.0
38,P32-35,5,585.0,228280.53675213674,209770.09794513957,6755.0,16091.44,30493.600000000006,39923.0,53201.4,89728.0,171185.0,293481.0,467234.2,643538.7999999997,792145.3999999999,982868.119999998,1787552.0
39,Doxo,5,205.0,216938.0243902439,220180.07157318958,10425.0,15957.68,19143.800000000003,28714.4,40051.0,74111.0,145393.0,267888.0,471877.8,682888.7999999998,769415.0000000002,1004959.6400000012,1571756.0
40,Doxo,7,258.0,432626.3604651163,352328.5387625123,6302.0,16486.69,33142.15,44616.25,80959.80000000002,187598.25,339491.0,582006.0,968381.5000000002,1146526.9499999993,1307945.9249999996,1559454.4500000002,1843785.0
41,Doxo,6,652.0,263448.6625766871,289463.22203423176,9180.0,18418.02,25988.425,30876.3,41955.9,75497.0,167702.5,319714.25,637655.8999999998,824137.3499999999,1095996.8750000005,1456647.09,2273984.0
