,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
23,P22-24,6,3256.0,1.0,0.35551654699148594,0.03820176264614879,0.3783987069138009,0.4504283472154249,0.5068536783635817,0.5894656978595358,0.7528629876464803,0.9550583699328922,1.1889079943840646,1.4631139634871628,1.677847707205571,1.8584480844925908,2.0724371382435756,2.9155918674771386
24,P22-24,5,1083.0,1.0,0.4082332152479298,0.05690273249944419,0.3541234701942989,0.4182218002622136,0.46931997671171827,0.5474370008432232,0.7211679152455175,0.9274153735761121,1.2124181125357456,1.5810024992395535,1.769933272045343,1.9678443130705707,2.258802111973211,2.841274629657365
25,P22-24,2,772.0,1.0,0.35627104651437064,0.04144168753461109,0.18104799634489008,0.44574759332615854,0.5272288634156447,0.6015665288474525,0.7511271732252573,0.9485888467775545,1.2117108268629826,1.4839558864177895,1.6207881622517888,1.7566813430877781,1.985210583834427,2.8183411329380847
26,P22-24,3,2539.0,1.0,0.3441604520701482,0.035989307401509546,0.4037735286770817,0.4816784235263264,0.5398121179163179,0.6181705641767878,0.7594861302111822,0.9637576091537312,1.193876811599854,1.4171662739803281,1.5747068482656665,1.7150514475723708,1.9453978470124238,4.090932400129996
27,P22-24,4,3426.0,1.0,0.3529685526175043,0.02199682003117582,0.2796274436550504,0.4303079193077209,0.49782035660219875,0.580179398487694,0.7475401365918893,0.9729390923888375,1.2213436291511652,1.4641731595133232,1.6078048162630467,1.7384173750474217,1.9343799197652582,3.831929469149055
28,P25-27,4,2434.0,1.0,0.36619559348437997,0.03722158838761072,0.24202719329311873,0.3818418127400727,0.47748269017506995,0.5686742372413737,0.7474115109942103,0.9586558313491041,1.207841675570352,1.4979417004974243,1.663652651993913,1.7964144071940835,1.9879284848867271,3.095163739806562
29,P25-27,5,2837.0,1.0,0.3426473555768767,0.21896605032867897,0.4130321392027021,0.48052949346164614,0.5368042138717579,0.6191796055017883,0.7694222094704902,0.9464186274901984,1.1813843615782968,1.433539743475031,1.6151898425566253,1.7774485417518493,1.9656493157720036,3.932951896008154
30,P25-27,6,274.0,1.0,0.4341080927445803,0.04892253898303551,0.05430073487928988,0.0834137250106709,0.4334599062500125,0.5311176755130577,0.6989646607620463,0.9517143948186272,1.2424873678446966,1.5909282701648113,1.7603044648339772,1.9245602337877628,2.2024516265912824,2.470471995233844
31,P25-27,3,1253.0,1.0,0.35239189924815734,0.03962576290341625,0.3587387587363341,0.4304625013762839,0.48746408897668253,0.565951588060063,0.7449355720373698,0.9711646110131154,1.2123786251904114,1.463480370065155,1.6304002359142595,1.758966685364944,1.9467577328007608,2.824348933493066
32,P25-27,7,1547.0,1.0,0.37181016472460615,0.03286893861258349,0.35396372618818,0.4410128249338807,0.5229023190092801,0.5942860960159145,0.7288890672889707,0.9397963818905103,1.2095591570290773,1.4807435703179384,1.6863771519035913,1.8985193792002126,2.149470308858092,2.898477319944113
33,P28-31,7,912.0,1.0,0.438477965930271,0.07208074874123048,0.390297479702734,0.42952068133308663,0.4879838895971529,0.5641778367755441,0.7351296863832781,0.8976091709615599,1.1841672348061993,1.484057393863801,1.7164959781932676,1.9072375451817363,2.5489640609361595,4.360205753937674
34,P28-31,5,5432.0,1.0,0.3543067142365136,0.1532101623128928,0.30980412013756464,0.41431692770918166,0.5008808303132645,0.6053034080192327,0.764090502170585,0.9671593225488947,1.1936681762906103,1.4344258699105186,1.6028311474270736,1.7460821238918651,1.995500936491907,5.820157428091073
35,P28-31,6,2597.0,1.0,0.3468738216722245,0.0392391212204954,0.3353416863071354,0.43538885945549527,0.52147169842062,0.614183265630148,0.7614848103764496,0.9558257996658133,1.1973177858253397,1.4509243189064234,1.6173887420544943,1.76582043927936,2.029583154098429,2.8320620867468933
36,P32-35,6,61.0,1.0000000000000002,0.6775003586083314,0.0701480900368561,0.0701480900368561,0.07195158903050267,0.07798308670069314,0.08737863931523547,0.5391774763617345,1.0,1.429324662521585,1.7870341359583084,2.36955845540491,2.448837438874686,2.5146027113086626,2.52670664510207
37,P32-35,7,902.0,1.0000000000000002,0.3672206811044701,0.03254856006138897,0.3597953743407351,0.480791959693567,0.5595383412495806,0.6195444994757654,0.7383601176891956,0.9403117563290112,1.1987381348594464,1.505044377638806,1.692829820698517,1.9466442822388013,2.129400066808742,2.640664434371437
38,P32-35,5,585.0,1.0,0.43208078629809604,0.04441714922940737,0.07647319767707231,0.20201694563188213,0.46149411382559413,0.5774811689389959,0.7474221761279478,0.9457873956115695,1.156135043577771,1.4986306334052828,1.7887083781258997,2.003232108568619,2.478277695857006,3.3080951169145623
39,Doxo,5,205.0,1.0,0.5338553828374293,0.05400923030884425,0.06388232633869255,0.06643262306877062,0.07890279067606917,0.491837272120304,0.6918290671213279,0.9220563558210793,1.2558328977625746,1.6810430470707889,1.9929049457343158,2.460389589694125,2.5599432964674493,3.173778929974826
40,Doxo,7,258.0,1.0,0.44394525072071556,0.03638638562706309,0.04900937964786178,0.08566478841144634,0.5418309235161547,0.6255585896687171,0.7762606921359902,0.904168718726391,1.1725105445159507,1.5246138420357802,1.8892525276166448,2.242890886229948,2.502116027141632,3.0153632634405048
