,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
20,P17-19,1,445.0,32626.090983781516,14345.088019809162,2044.5632092710136,9268.556107711227,12473.74741404091,15700.344550004838,17987.89683480632,21852.461784324623,29989.857374129835,40348.37073210768,51871.05161627625,60428.61121051359,68761.33644268129,77886.60709807333,85280.55746539596
21,P17-19,4,994.0,27127.881998993907,11007.7685124834,2075.190947989365,6097.713653899503,8797.693569630603,11609.539740412718,14512.217618361414,19429.059702781073,25865.649673503325,33340.03411052799,41190.07470781323,46042.55339189751,50530.965833755035,55727.97638226035,118971.15196526507
22,P17-19,3,1575.0,22587.621101619472,8207.448803861445,4978.22228211071,9598.627244218127,11248.911647207264,12557.145911001193,14127.33855499724,17072.723943785793,21028.478723404256,26775.147032528832,32355.070509395908,36801.94010517707,41921.325864949365,48622.24494347796,99219.2417543021
23,P17-19,2,765.0,32195.613454367493,10983.615589299852,2955.861921806167,9899.238809391176,15371.591920858953,18106.076779155934,21106.047408335704,25053.485049305484,30861.79287838731,37776.72587309012,45452.9342262936,50739.16465308935,54464.50731310769,62707.27274249443,146487.20428679817
24,P17-19,5,462.0,16122.114103568658,6155.781838503132,1505.6088933905307,5958.310173801983,7023.093229575393,8106.994782898088,9552.509546547804,11828.964912280702,15200.500971349633,19482.730266100178,24701.47992357434,27792.60478026167,29326.875555780112,34227.33749282161,42160.36660958904
25,P17-19,7,647.0,42773.69935645363,16805.45803184726,2288.2087597035998,14535.775406317842,18873.29074898501,22786.903623852613,25843.157176286826,32339.738350715917,39248.9091504491,50470.20851483189,64496.93865141048,73692.27650295917,81298.51839153677,92846.36548937052,170509.92109728506
26,P20-22,7,523.0,34403.787584731515,12447.701465622758,2041.0362813884783,9162.88141777659,13473.850769661949,17162.85553445453,20538.13630189506,25488.625835899096,33090.69163763066,41497.63582863326,49880.78279049405,59832.02763523154,63934.846884401144,70370.46298783328,79132.27418108776
27,P20-22,6,63.0,13195.963663744244,6047.4786629489045,1005.6018093049972,1096.527583580226,1205.7001846335188,3683.623771848305,6552.654635873045,9716.80433430825,12212.287453842097,15959.810291778227,22309.33312577244,25540.549335846088,26387.355231391615,26570.101532341734,26574.784014774094
28,P20-22,4,1506.0,37332.3632256558,12648.251601107504,2586.6266315261046,12811.468704831701,16257.340957148495,18606.561566493256,22678.444031820633,28505.687518694664,36313.21259195685,44920.7120018116,54144.78004180341,60125.24895730087,64315.72552367784,71151.0537413183,106426.68349358976
29,P20-22,5,1653.0,18887.28020036535,5971.1156453482,3872.256309148265,7808.1236444687165,9851.324203187796,10968.052214734951,12337.116442463202,14912.672409370723,18018.39923469388,21819.88171487603,26562.847374382665,29989.70514073885,32685.55364997126,37468.39898117325,58130.57909181637
30,P20-22,2,374.0,32221.9522016323,11428.221662514767,1557.9200174825176,7289.772737445829,15372.838131998718,18051.852160550825,19696.42500727227,24791.393778236474,30923.644347702502,37949.21229984789,46479.47193075555,53544.48630783925,57154.89170014746,65215.42189660768,98845.12357229648
31,P20-22,3,719.0,20200.001158301522,6767.496858841619,1120.75,6123.863221980623,8881.081269759088,10517.352997256688,12084.547361369587,15813.74684291673,19549.050524308863,24166.20572343795,29388.679697292122,32814.90301525863,35385.64609939323,38837.32905830206,47156.06397482957
32,P23-25,5,2046.0,17589.573067104353,6541.982377504542,3420.655231829574,5126.541632742761,6219.097969766687,7548.731584376286,9886.63911668746,13650.623587112656,17161.7292608947,20885.04007271841,25308.270060500123,28540.853481201913,31636.108985203045,35226.795916803705,82992.92718446603
33,P23-25,6,771.0,15979.023419672438,5794.120468483514,1015.0523908857508,4800.649921617159,5757.1401054281705,7084.558801207526,8995.269251467711,11949.722030263983,15677.657863079616,19449.993604826275,23036.980705492424,26345.132728425975,28226.661402886984,31679.8332834154,44101.71811105948
34,P23-25,4,1875.0,31321.994853861284,12181.868939449727,2196.1898937565584,7159.788178120874,9535.50547207932,12678.067973288566,16153.241934976952,23265.932310410124,30047.36085164835,38512.90124840647,47195.78952237303,53104.34172345305,58649.6538201467,64994.266459797334,84337.22794548652
35,P23-25,7,290.0,47937.26234364632,21879.362086439094,3564.9592041800643,16526.568362751907,18507.16721745063,21921.053202936622,26324.321211458046,33519.66713114742,42831.735978399825,55692.21162362579,73632.0967023853,89736.14182983556,101776.95790758624,117333.74764837167,182723.94896673388
36,P26-28,6,266.0,15869.84196421177,5297.159133163899,2227.074701143451,5328.235792034272,7031.927872537185,9105.826192610537,10550.345200589221,12207.329983379297,15056.680629692402,18385.41495332557,22942.602637653898,25207.250474001274,28070.623834087517,29300.826849013403,39566.15410613398
37,P26-28,7,192.0,30028.956534289373,10383.031053989203,7250.667394064434,9101.305554262053,14873.115793297076,17055.153549823983,19269.407102643865,23105.41247941458,28309.545707707348,34828.15305385477,42424.170177568216,49362.85806904405,59461.26884889403,60962.77122467548,64856.6709453822
38,P26-28,5,20.0,16089.352857417345,6635.212881478972,1929.7556330472105,3027.2516453606136,4673.4956638307185,7417.235694614226,9525.03812712899,11798.737757688581,15581.824854983057,19651.447431632623,23696.88785836487,24830.24890643577,27906.008123355536,29751.463653507406,30981.767340275328
39,P29+,5,89.0,12124.483889066161,5416.834172210194,946.4670009328358,954.2574371707639,3773.539232370384,4781.38388866534,7127.17500976982,9379.73020877908,11094.380479969766,14478.002775171984,18229.909084316147,21412.990520415653,23720.493054037805,30460.764076862153,36340.28397385103
40,P29+,6,2.0,14542.399106086206,5617.714235945545,10570.075275080906,10649.521751701011,10768.691466631171,10967.307658181437,11364.540041281965,12556.237190583555,14542.399106086206,16528.561021588856,17720.258170890444,18117.490553990974,18316.10674554124,18435.2764604714,18514.722937091505
41,P29+,7,13.0,25693.795617864977,7462.571354501345,9058.374674864974,10314.986121681617,12199.903291906585,15341.431908948198,19577.510541308235,20766.15152605693,27228.020215540917,30421.454622322435,34766.27383034622,35556.78989577527,35803.17189593959,35951.00109603817,36049.5538961039
42,Doxo,5,48.0,9959.343154607857,4118.88432077959,1065.7572119291403,1291.6354580087777,1546.349224864539,2681.4282789282643,4806.9345032896945,8456.759868178466,9892.705639344262,12265.275773645066,13232.674714248049,14662.058176149476,17673.727040226615,21993.913208287147,25292.75343642612
43,Doxo,6,143.0,14013.39049736972,5715.640599832874,1028.5761010964504,1653.1721621468669,4898.666142211619,7352.912539371194,7980.8904892439505,10193.84908742031,13171.03166032642,16980.780493198818,21371.0230441514,23942.80881074864,28238.69361062354,30404.18381005928,34922.00971223022
44,Doxo,7,23.0,28797.197877029328,17863.295738202538,1100.5351199690404,1100.818596769684,1101.2438119706496,1164.3680780918453,4844.284551781912,20967.343243362862,24415.337584364454,40209.53033796149,48366.594636745736,50351.26890255256,63562.136026450666,73177.27549071968,79587.36846689896
