Metadata_Well,Metadata_WellRow,Metadata_WellColumn,Metadata_Field,TimepointName,SerialPassage_BatchNumber,AgeGroup,PassageNumber,Staining,Drug
B04,2,4,30,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,31,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,32,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,33,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,34,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,35,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,36,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,37,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,38,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,39,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B04,2,4,40,SPB4 AG2 P12,4,2,12,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,1,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,2,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,3,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,4,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,5,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,6,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,7,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,8,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,9,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,10,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,11,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,12,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,13,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,14,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,15,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,16,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,17,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,18,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
B05,2,5,19,SPB5 AG1 P9,5,1,9,LAMP1-488 + MitoRed + WGA-CF640R,None
