Plate_Number,Vessel_Name,Elapsed,Doxo_P12 LIN11-0C-b5 ,P34 LIN3-0A-b2-s1-ss1 ,P31 LIN3-0A-b2-s1-ss2 ,P29 LIN3-0A-b2-s2-ss1-ss1 ,P25 LIN7-0C-b3-s1 ,P22 LIN8-0B-b2B-s1-ss1 ,P22 LIN8-0B-b2B-s1-ss2 ,P18 LIN6-0C-b1-s2 ,P14 LIN11-0C-b5 ,P13 LIN12-0C-b2-s2 
6,20250410_AS_MRC5_Confluence_Rep6,28,15.118869,3.1197071999999997,20.107664375,28.147885000000002,9.790995187499998,24.247686875000003,24.372613125,25.346089375,28.909101250000003,38.360752500000004
6,20250410_AS_MRC5_Confluence_Rep6,30,15.72090875,3.4496556,21.250438125,29.556588124999998,9.945221812500002,26.262285000000002,25.908709375,26.962965625,30.993151875,42.373660625
6,20250410_AS_MRC5_Confluence_Rep6,32,15.823764375,2.9285775625,21.890743125,30.931023749999998,10.3606148125,27.52604125,27.403160625,28.68502125,33.4973825,45.576261875
6,20250410_AS_MRC5_Confluence_Rep6,34,16.202959375,3.4555757500000004,22.661126250000002,32.56491,10.3400850625,28.9631125,28.50262125,30.29902125,35.8634625,49.35187125
6,20250410_AS_MRC5_Confluence_Rep6,36,16.1179574375,2.9093279625,23.425389375,33.9018175,10.688548437500001,30.385234375,29.928382499999998,32.39924375,38.44758375,53.506886875
6,20250410_AS_MRC5_Confluence_Rep6,38,16.740765,3.0473016875,24.43602125,35.7993525,11.0436245,31.967004375000002,31.46743625,34.58907875,40.96817,57.4227425
6,20250410_AS_MRC5_Confluence_Rep6,40,17.4411556875,3.0259648749999997,25.264562500000004,37.271713125,11.297166687499999,33.738680625,32.784110625,36.7695525,44.03120375,61.594708749999995
6,20250410_AS_MRC5_Confluence_Rep6,42,17.5242759375,2.8291884375,26.291105,38.798659375,11.574096562500001,35.722868125000005,33.9953625,39.155698125,47.195605625,65.914608125
6,20250410_AS_MRC5_Confluence_Rep6,44,17.793658125,2.974879,27.09946625,40.828829375,12.0084523125,38.289666875,36.078833125,41.856809375,50.621015625,70.85808125
6,20250410_AS_MRC5_Confluence_Rep6,46,18.0344884375,2.7766728124999998,27.918754375,41.906419375,12.1504895,39.7793975,37.035491875000005,44.196423125,54.3014425,75.808000625
6,20250410_AS_MRC5_Confluence_Rep6,48,18.06907475,2.688739375,28.728061250000003,44.289856875,12.2675243125,42.51430625,38.791756875,47.407449375,58.16259375,81.122180625
6,20250410_AS_MRC5_Confluence_Rep6,50,18.7667905,2.694783,30.037805,46.06931625,12.4444751875,44.3789675,40.968556875000004,49.7593825,62.69844812500001,85.44316562499999
6,20250410_AS_MRC5_Confluence_Rep6,52,19.5242500625,2.63557481875,31.2255775,48.129890625,13.029327187499998,46.053888125,42.922234375,53.489009374999995,66.781234375,89.46770000000001
6,20250410_AS_MRC5_Confluence_Rep6,54,19.733391937500002,2.8213223125000004,32.081194999999994,50.357590625,13.312086375,48.245126875,44.764973749999996,56.252849375,71.456709375,92.83657625000001
6,20250410_AS_MRC5_Confluence_Rep6,56,20.138872624999998,2.55526006875,33.483074375,52.15159312499999,13.618128875,50.75666187499999,46.783944375000004,59.575293124999995,75.781720625,95.306976875
6,20250410_AS_MRC5_Confluence_Rep6,58,21.06643975,2.7965922375,34.899178125,54.609846875,14.143992062499999,53.130540625,48.2278525,63.54426625000001,80.24574625,97.210535
6,20250410_AS_MRC5_Confluence_Rep6,60,21.5059408125,2.8664370000000003,36.60655250000001,56.598718125000005,14.168658125,55.50945,50.80285562499999,66.58398749999999,84.397318125,98.26470875000001
6,20250410_AS_MRC5_Confluence_Rep6,62,21.813902312499998,2.8275752875,38.407731874999996,59.39461375,14.558629999999999,58.176376875,52.96374,69.92302062499999,88.05707437500001,99.026178125
6,20250410_AS_MRC5_Confluence_Rep6,64,22.462130625,2.81184694375,39.28664125,61.352241875000004,14.677051749999999,60.669825,55.182741875000005,73.492653125,91.081475625,99.4263875
6,20250410_AS_MRC5_Confluence_Rep6,66,23.59235,2.7093676125,40.557165624999996,63.45414,14.8140874375,63.7984975,57.386006249999994,76.07111437500001,93.39395999999999,99.70748
6,20250410_AS_MRC5_Confluence_Rep6,68,24.098475625,2.83264585625,42.273378750000006,66.12883,15.417928312499999,66.21617125,59.91035625000001,79.1361875,95.287335625,99.850543125
6,20250410_AS_MRC5_Confluence_Rep6,70,25.12312875,2.8321934125,43.86913375,68.278148125,15.847064999999999,68.85297437499999,61.986156875000006,82.21887000000001,96.6981375,99.90662875
6,20250410_AS_MRC5_Confluence_Rep6,72,25.970333749999998,2.8178820125,45.10394062500001,70.453775,16.0931349375,70.9635625,63.68721375,84.64303000000001,97.71293875,99.940140625
