Plate_Number,Vessel_Name,Elapsed,Doxo_P17 LIN13-0C-b2-s3 ,P33 LIN3-0A-b2-s1-ss1 ,P32 LIN3-0A-b2-s1-ss1-sss1 ,P29 LIN3-0A-b2-s1-ss2 ,P27 LIN3-0A-b2-s2-ss1-sss1 ,P23 LIN7-0C-b3-s1 ,P19 LIN8-0B-b2B-s1-ss1 ,P19 LIN8-0B-b2B-s1-ss2 ,P15 LIN6-0C-b1-s2 ,P11 LIN11-0C-b5 
5,20250328_AS_MRC5_Confluence_Rep5,24,15.967704999999999,15.343502749999999,4.97532525,70.30299625,50.4562575,24.372061249999998,25.691638124999997,20.44543625,42.806014375,56.64930687499999
5,20250328_AS_MRC5_Confluence_Rep5,26,15.9164686875,15.1575379375,5.1178825,72.98191375,53.734731875,25.472910000000002,27.246348124999997,21.78424,45.986440625,60.880364375
5,20250328_AS_MRC5_Confluence_Rep5,28,16.2223631875,15.521624625000001,5.3476991875,76.24019625,56.79077375,26.828277499999995,28.898400625,22.801715,49.424366875000004,65.449218125
5,20250328_AS_MRC5_Confluence_Rep5,30,16.15629825,15.165912562499999,5.5495039375,78.72600249999999,59.869352500000005,27.90399,30.530029374999998,23.793969375,53.212520624999996,70.05958562500001
5,20250328_AS_MRC5_Confluence_Rep5,32,15.810270499999998,15.7096093125,5.7335995,81.612404375,63.401503125000005,28.904708125,32.963503125,25.123615,56.69328375,74.41318187499999
5,20250328_AS_MRC5_Confluence_Rep5,34,16.238962125,15.1502528125,5.964696625,84.52543625,66.74444,30.23736125,34.589441875,27.004577500000003,60.83001312500001,79.16390312499999
5,20250328_AS_MRC5_Confluence_Rep5,36,16.1018215,15.324172124999999,6.061383812500001,86.51787999999999,70.23555875,31.81568,36.835080625,28.752159374999998,64.6957825,83.684910625
5,20250328_AS_MRC5_Confluence_Rep5,38,16.042501125,15.411123937500001,6.225304125,88.50943312499999,73.900359375,32.748384375,38.677063125000004,30.500986875,68.99501062499999,87.893101875
5,20250328_AS_MRC5_Confluence_Rep5,40,16.163038812499998,16.2698284375,6.2744951250000005,91.02335500000001,77.1535575,34.007750625,40.747265625,32.663602499999996,73.37067875,91.36436625
5,20250328_AS_MRC5_Confluence_Rep5,42,16.328653749999997,16.0505160625,6.4557477500000005,92.95123625,80.424215625,35.175183125000004,43.227228124999996,34.321160625000005,77.35283750000002,94.13063875
5,20250328_AS_MRC5_Confluence_Rep5,44,16.375987375,16.257123,6.61090875,94.104054375,83.16565187500001,36.848914375,45.341057500000005,36.68301625,81.31755187499999,96.085449375
5,20250328_AS_MRC5_Confluence_Rep5,46,16.4479443125,16.46061,6.833790125,95.42658750000001,86.37754625,38.10544875,48.323059375,38.832670625000006,84.90557125000001,97.311391875
5,20250328_AS_MRC5_Confluence_Rep5,48,16.347552875,16.245123625,7.125833125,96.34498875,89.05443187499999,39.468348125000006,50.869840625,40.864320625000005,87.515709375,98.28419062500001
5,20250328_AS_MRC5_Confluence_Rep5,50,16.4969524375,16.719964875000002,7.036729812500001,97.089779375,91.260229375,41.040518125000006,53.836904375,43.5541425,90.2616225,98.747500625
5,20250328_AS_MRC5_Confluence_Rep5,52,16.7743525,16.7176825,7.10397125,97.76702875,93.13231437499999,42.51758625000001,56.804689374999995,46.183264375,92.502448125,99.247648125
5,20250328_AS_MRC5_Confluence_Rep5,54,16.870346375,16.6927508125,7.5103885625,98.24062125,94.57372874999999,44.234536875,59.4486775,48.829049375,94.33633312500001,99.52665375000001
5,20250328_AS_MRC5_Confluence_Rep5,56,17.001405875,16.6701388125,7.6929223124999995,98.5232375,95.669265,45.19343875,62.312776875,51.473465000000004,95.626896875,99.7188875
5,20250328_AS_MRC5_Confluence_Rep5,58,17.2080921875,16.5622735625,7.8631626875,98.92552375,96.49535999999999,46.784406249999996,65.00854625,54.407505625,96.59513124999998,99.75909437499999
5,20250328_AS_MRC5_Confluence_Rep5,60,16.629042,16.531579937500002,8.0337925625,99.164963125,97.260284375,48.4647975,67.74001125,57.410777499999995,97.55912750000002,99.82226
5,20250328_AS_MRC5_Confluence_Rep5,62,17.2389218125,16.846495750000003,8.035875375,99.1988375,97.896483125,49.903550625,70.63473812500001,60.04525125000001,98.1066925,99.8863175
5,20250328_AS_MRC5_Confluence_Rep5,64,16.8513680625,17.0676878125,8.214973937500002,99.32396,98.245161875,51.553968125,72.755505,63.27028812500001,98.42543125,99.908175625
