,Plate_Name,Passage_Lineage,Passage_Number,Lineage,AllGroups,Doubling_Time_Trees,Exponential_Doubling_Rate_Trees,Selected_Times_Trees,Selected_Cell_Density_Trees,Doubling_Time_RANSAC,Exponential_Doubling_Rate_RANSAC,Selected_Times_RANSAC,Int_Plate,Int_Passage
6,Plate 2,P13 LIN5-0B-b3,P13,LIN5-0B-b3,P13-15,22.75023799122385,0.043955584129966495,[0.000e+00 1.000e-02 2.000e-02 ... 5.074e+01 5.075e+01 5.076e+01],"[20.38147361 20.38768432 20.39389692 ... 95.63672339 95.66586613
 95.69501775]",29.249755306112046,0.03418832019394841,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",2,13
13,Plate 3,P18 LIN5-0B-b3-s1,P18,LIN5-0B-b3-s1,P16-18,26.038470168795623,0.0384047140065239,[0.000e+00 1.000e-02 2.000e-02 ... 3.524e+01 3.525e+01 3.526e+01],"[38.39447297 38.40469498 38.41491972 ... 98.10187876 98.12799707
 98.15412234]",25.556858209313113,0.03912844027266201,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32],3,18
5,Plate 2,P11 LIN6-0C-b1,P11,LIN6-0C-b1,P6-12,24.946011463434765,0.04008656860700056,[0.000e+00 1.000e-02 2.000e-02 ... 5.124e+01 5.125e+01 5.126e+01],"[21.49524913 21.50122261 21.50719775 ... 89.2624625  89.28726831
 89.31208102]",30.655565902781976,0.03262050366877261,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",2,11
12,Plate 3,P16 LIN6-0C-b1-s1,P16,LIN6-0C-b1-s1,P16-18,23.806710472099926,0.042004963313681726,[0.000e+00 1.000e-02 2.000e-02 ... 4.324e+01 4.325e+01 4.326e+01],"[25.71743816 25.72492704 25.73241811 ... 90.57052056 90.59689457
 90.62327626]",33.36777694300039,0.029969032750015775,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68]",3,16
21,Plate 4,P23 LIN6-0C-b1-s1,P23,LIN6-0C-b1-s1,P22-24,28.971471942355027,0.03451671361364431,[0.000e+00 1.000e-02 2.000e-02 ... 5.074e+01 5.075e+01 5.076e+01],"[17.8833569  17.88763604 17.8919162  ... 60.20968712 60.22409411
 60.23850455]",33.521472387588744,0.0298316251875096,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",4,23
25,Plate 5,P15 LIN6-0C-b1-s2,P15,LIN6-0C-b1-s2,P13-15,22.042216748746696,0.04536748782569064,[0.000e+00 1.000e-02 2.000e-02 ... 4.724e+01 4.725e+01 4.726e+01],"[20.5104534  20.5169042  20.52335703 ... 90.60053119 90.62902623
 90.65753022]",29.899351403605987,0.033445541560456586,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",5,15
36,Plate 6,P18 LIN6-0C-b1-s2,P18,LIN6-0C-b1-s2,P16-18,23.371762138602044,0.04278667539356593,[0.000e+00 1.000e-02 2.000e-02 ... 6.324e+01 6.325e+01 6.326e+01],"[11.25618443 11.25952322 11.26286301 ... 73.43904123 73.46082462
 73.48261446]",24.101536585571694,0.04149113051151464,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",6,18
47,Plate 7,P24 LIN6-0C-b1-s2,P24,LIN6-0C-b1-s2,P22-24,33.69092200721331,0.029681586030382234,[ 9.26  9.27  9.28 ... 71.97 71.98 71.99],"[12.78386973 12.78650012 12.78913105 ... 46.44930056 46.45885789
 46.46841718]",34.006541648454956,0.029406106929001224,"[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50
 52 54 56 58 60 62 64 66 68 70 72]",7,24
20,Plate 4,P20 LIN7-0C-b3,P20,LIN7-0C-b3,P19-21,26.36129766876052,0.03793439960981325,[0.000e+00 1.000e-02 2.000e-02 ... 3.274e+01 3.275e+01 3.276e+01],"[40.310241   40.32084162 40.33144503 ... 95.34244691 95.36751967
 95.39259902]",24.514428198277688,0.040792303696084456,[ 4  6  8 10 12 14 16 18 20 22 24 26],4,20
11,Plate 3,P13 LIN7-0C-b3,P13,LIN7-0C-b3,P13-15,20.407846499058167,0.049000760567566526,[0.000e+00 1.000e-02 2.000e-02 ... 3.724e+01 3.725e+01 3.726e+01],"[26.15904457 26.16793093 26.17682031 ... 92.66973028 92.70121066
 92.73270173]",24.072095848599247,0.041541875135819965,[ 4  6  8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48],3,13
