,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
17,P19-21,5,2606.0,158.79278587874137,120.71425326852798,6.0,23.05,31.125,42.0,55.0,83.0,131.0,195.0,288.5,370.75,478.625,641.1999999999935,1102.0
18,P19-21,3,3587.0,220.46863674379705,201.23507605348942,8.0,31.0,40.0,52.30000000000001,68.60000000000002,104.0,164.0,266.5,430.4000000000001,580.0,729.3499999999999,1003.8399999999992,2898.0
19,P19-21,2,1342.0,351.56259314456037,251.32953587256878,1.0,49.230000000000004,68.0,88.0,122.0,183.25,288.5,449.75,648.6000000000004,830.95,984.3249999999994,1310.1799999999998,2508.0
20,P19-21,1,729.0,274.6721536351166,257.84616826704706,11.0,29.0,49.2,65.0,83.8,126.0,205.0,336.0,543.4000000000001,665.2,976.5999999999992,1394.1600000000055,2260.0
21,P19-21,4,1469.0,177.70660313138188,161.29409087330782,4.0,24.0,34.0,41.400000000000006,53.0,85.0,136.0,214.0,331.20000000000005,439.7999999999997,630.4999999999998,795.2399999999996,2328.0
22,P22-24,7,1486.0,356.9744279946164,318.7219311238281,1.0,48.7,69.0,84.25,109.5,171.0,260.0,430.0,718.5,924.75,1225.125,1549.3000000000038,4149.0
23,P22-24,6,3256.0,245.2926904176904,226.87254050735567,5.0,25.0,38.375,51.0,70.0,111.0,179.0,294.0,499.0,665.75,874.75,1217.1499999999987,2326.0
24,P22-24,5,1083.0,335.09972299168976,276.36788554522127,2.0,37.0,48.0,66.0,88.2,141.0,259.0,430.0,708.8000000000001,932.0999999999974,1094.6500000000003,1348.9600000000014,1863.0
25,P22-24,2,772.0,409.39507772020727,334.75894980775087,10.0,38.71,61.825,85.55000000000001,112.0,182.0,317.0,540.25,824.0,989.8999999999999,1161.1750000000002,1572.9799999999977,3050.0
26,P22-24,3,2539.0,396.44348168570303,351.07586117433283,8.0,45.379999999999995,66.0,83.0,112.80000000000001,179.5,299.0,495.5,793.0,1011.0999999999999,1274.2999999999984,1750.0999999999995,3954.0
27,P22-24,4,3426.0,204.20899007589026,221.75638659693027,2.0,16.0,27.625,36.0,52.0,84.0,142.0,244.0,411.0,560.0,735.25,1104.25,3538.0
28,P25-27,4,2434.0,168.38537387017254,147.30786007150112,1.0,16.0,27.825000000000003,36.0,49.0,79.0,129.0,208.0,324.0,420.3499999999999,531.5249999999992,702.3400000000001,1964.0
29,P25-27,5,2837.0,192.32111385266126,159.88522909518863,1.0,24.36,36.900000000000006,47.0,63.0,97.0,151.0,233.0,364.0,480.1999999999998,607.8999999999992,753.2799999999997,2325.0
30,P25-27,6,274.0,369.66058394160586,355.83815019844917,10.0,17.73,33.125,56.65,80.0,142.25,254.5,466.75,769.2,1077.1999999999969,1435.0000000000005,1754.3299999999986,2263.0
31,P25-27,3,1253.0,448.7350359138069,439.57159113342186,3.0,50.599999999999994,74.0,102.0,132.0,201.0,307.0,508.0,915.0,1287.399999999993,1722.2000000000012,2230.2800000000007,4850.0
32,P25-27,7,1547.0,392.01551389786687,316.2662588078715,9.0,40.0,60.60000000000002,84.0,113.0,185.0,309.0,506.0,762.4000000000001,966.3999999999996,1184.849999999999,1452.62,3471.0
33,P28-31,7,912.0,325.3311403508772,288.30867178373506,14.0,45.0,58.775000000000006,77.55000000000001,99.0,154.0,242.5,391.25,609.0,861.8999999999971,1135.8500000000006,1491.9499999999994,2504.0
34,P28-31,5,5432.0,183.63052282768777,132.37190002102014,1.0,20.0,30.0,42.0,59.0,96.0,150.5,235.0,346.0,422.0,525.2249999999995,664.3799999999992,1442.0
35,P28-31,6,2597.0,247.7104351174432,211.17569876782756,4.0,27.0,39.900000000000006,54.80000000000001,71.60000000000002,115.0,188.0,310.0,494.4000000000001,664.3999999999996,809.5999999999995,1097.3999999999996,2833.0
36,P32-35,6,61.0,467.7704918032787,521.650214653543,11.0,12.2,16.5,21.0,32.0,80.0,249.0,657.0,1124.0,1663.0,1819.5,2042.3999999999992,2355.0
37,P32-35,7,902.0,603.0964523281597,477.54870820790677,36.0,86.01,124.525,152.05,199.0,295.25,444.5,757.0,1217.1,1608.8999999999999,1951.4250000000002,2350.88,3326.0
38,P32-35,5,585.0,575.7350427350427,464.25997221462666,18.0,31.68,71.6,97.2,142.60000000000002,259.0,458.0,759.0,1164.6000000000001,1571.3999999999996,1818.9999999999998,2215.1599999999953,3068.0
39,Doxo,5,205.0,521.6536585365853,451.6931567900506,4.0,28.12,45.800000000000004,70.0,100.4,195.0,418.0,672.0,1114.6,1425.8,1613.4000000000003,2178.4400000000023,2639.0
40,Doxo,7,258.0,965.9806201550388,707.7702118447139,15.0,28.99,81.275,108.0,202.90000000000003,457.25,783.0,1294.5,2007.0,2474.2,2691.2,2961.570000000002,3447.0
41,Doxo,6,652.0,662.6426380368098,699.4566398214153,18.0,40.53,51.0,68.55000000000001,98.10000000000001,206.5,447.5,829.5,1521.2999999999997,2016.849999999999,2542.725,3089.86,5759.0
