,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,10809,164,Bottom threshold: 9340.0,10629.0,P22-24
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,10809,16,Top threshold: 98385.75,10629.0,P22-24
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,10629,140,Bottom threshold: 1.9243336199484091,10489.0,P22-24
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,10489,30,Top threshold: 20.530685742771166,10459.0,P22-24
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,10459,1,Bottom threshold: 0.02651916403099086,10458.0,P22-24
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,10458,11,Top threshold: 2.5,10447.0,P22-24
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,10447,465,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,9982.0,P22-24
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,9982,10,Max Number Of Nuclei Neighbours: 1.0,9972.0,P22-24
Initial_Dataset,Initial Dataset,3471,7200,0,"None,None",,P25-27
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,7200,3,min_compartments=0,7197.0,P25-27
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,7197,0,min_compartments=0,7197.0,P25-27
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,7197,100,Bottom threshold: 22768.0,7094.0,P25-27
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,7197,3,Top threshold: 1254046.5,7094.0,P25-27
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,7094,132,Bottom threshold: 9340.0,6952.0,P25-27
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,7094,10,Top threshold: 98385.75,6952.0,P25-27
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,6952,104,Bottom threshold: 1.9243336199484091,6848.0,P25-27
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,6848,16,Top threshold: 20.530685742771166,6832.0,P25-27
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,6832,1,Bottom threshold: 0.0349245300249584,6831.0,P25-27
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,6831,8,Top threshold: 2.5,6823.0,P25-27
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,6823,403,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,6420.0,P25-27
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,6420,9,Max Number Of Nuclei Neighbours: 1.0,6411.0,P25-27
Initial_Dataset,Initial Dataset,3471,5082,0,"None,None",,P28-31
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,5082,2,min_compartments=0,5080.0,P28-31
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,5080,0,min_compartments=0,5080.0,P28-31
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,5080,62,Bottom threshold: 22768.0,5017.0,P28-31
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,5080,1,Top threshold: 1254046.5,5017.0,P28-31
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,5017,54,Bottom threshold: 9340.0,4959.0,P28-31
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,5017,4,Top threshold: 98385.75,4959.0,P28-31
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,4959,309,Bottom threshold: 1.9243336199484091,4650.0,P28-31
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,4650,4,Top threshold: 20.530685742771166,4646.0,P28-31
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,4646,2,Bottom threshold: 0.054514594339285335,4644.0,P28-31
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,4644,12,Top threshold: 2.5,4632.0,P28-31
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,4632,808,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,3824.0,P28-31
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,3824,10,Max Number Of Nuclei Neighbours: 1.0,3814.0,P28-31
Initial_Dataset,Initial Dataset,3471,970,0,"None,None",,P32-35
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,970,1,min_compartments=0,969.0,P32-35
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,969,0,min_compartments=0,969.0,P32-35
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,969,8,Bottom threshold: 22768.0,952.0,P32-35
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,969,9,Top threshold: 1254046.5,952.0,P32-35
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,952,17,Bottom threshold: 9340.0,919.0,P32-35
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,952,16,Top threshold: 98385.75,919.0,P32-35
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,919,19,Bottom threshold: 1.9243336199484091,900.0,P32-35
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,900,9,Top threshold: 20.530685742771166,891.0,P32-35
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,891,1,Bottom threshold: 0.05908507649831327,890.0,P32-35
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,890,5,Top threshold: 2.5,885.0,P32-35
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,885,22,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,863.0,P32-35
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,863,0,Max Number Of Nuclei Neighbours: 1.0,863.0,P32-35
Initial_Dataset,Initial Dataset,3471,791,0,"None,None",,Doxo
