Image_ID,Well_ID,Well,Row,Col,Field_ID,Field,PositionX,PositionY,PositionZ,PositionX (um),PositionX (pixels),PositionY (um),PositionY (pixels),PositionZ (um),PositionZ (pixels),min_bbox_PositionX (um),max_bbox_PositionX (um),min_bbox_PositionY (um),max_bbox_PositionY (um),bbox_coords
0202K1F2P1R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,-1e-06,-1845.183,-19439.996,2050.204,21600.003,-1.0,-10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P2R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,0.0,-1845.183,-19439.996,2050.204,21600.003,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P2R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,0.0,-1845.183,-19439.996,2050.204,21600.003,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P2R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,0.0,-1845.183,-19439.996,2050.204,21600.003,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P2R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,0.0,-1845.183,-19439.996,2050.204,21600.003,0.0,0.0,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P3R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,1e-06,-1845.183,-19439.996,2050.204,21600.003,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P3R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,1e-06,-1845.183,-19439.996,2050.204,21600.003,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P3R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,1e-06,-1845.183,-19439.996,2050.204,21600.003,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P3R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,1e-06,-1845.183,-19439.996,2050.204,21600.003,1.0,10.536,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P4R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,2e-06,-1845.183,-19439.996,2050.204,21600.003,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P4R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,2e-06,-1845.183,-19439.996,2050.204,21600.003,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P4R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,2e-06,-1845.183,-19439.996,2050.204,21600.003,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P4R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,2e-06,-1845.183,-19439.996,2050.204,21600.003,2.0,21.071,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P5R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,3e-06,-1845.183,-19439.996,2050.204,21600.003,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P5R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,3e-06,-1845.183,-19439.996,2050.204,21600.003,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P5R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,3e-06,-1845.183,-19439.996,2050.204,21600.003,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P5R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,3e-06,-1845.183,-19439.996,2050.204,21600.003,3.0,31.607,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P6R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,4e-06,-1845.183,-19439.996,2050.204,21600.003,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P6R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,4e-06,-1845.183,-19439.996,2050.204,21600.003,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P6R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,4e-06,-1845.183,-19439.996,2050.204,21600.003,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P6R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,4e-06,-1845.183,-19439.996,2050.204,21600.003,4.0,42.142,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P7R1,0202,B02,2,2,F02,2,-0.001845183,0.002050204,5e-06,-1845.183,-19439.996,2050.204,21600.003,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P7R2,0202,B02,2,2,F02,2,-0.001845183,0.002050204,5e-06,-1845.183,-19439.996,2050.204,21600.003,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P7R3,0202,B02,2,2,F02,2,-0.001845183,0.002050204,5e-06,-1845.183,-19439.996,2050.204,21600.003,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F2P7R4,0202,B02,2,2,F02,2,-0.001845183,0.002050204,5e-06,-1845.183,-19439.996,2050.204,21600.003,5.0,52.678,-1947.6931853068734,-1742.6728146931266,1947.6938146931268,2152.714185306874,"-1947.7,1947.7,-1742.7,2152.7"
0202K1F3P1R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,-1e-06,-1640.163,-17280.0,2050.204,21600.003,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P1R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,-1e-06,-1640.163,-17280.0,2050.204,21600.003,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P1R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,-1e-06,-1640.163,-17280.0,2050.204,21600.003,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P1R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,-1e-06,-1640.163,-17280.0,2050.204,21600.003,-1.0,-10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P2R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,0.0,-1640.163,-17280.0,2050.204,21600.003,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P2R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,0.0,-1640.163,-17280.0,2050.204,21600.003,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P2R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,0.0,-1640.163,-17280.0,2050.204,21600.003,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P2R4,0202,B02,2,2,F03,3,-0.001640163,0.002050204,0.0,-1640.163,-17280.0,2050.204,21600.003,0.0,0.0,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P3R1,0202,B02,2,2,F03,3,-0.001640163,0.002050204,1e-06,-1640.163,-17280.0,2050.204,21600.003,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P3R2,0202,B02,2,2,F03,3,-0.001640163,0.002050204,1e-06,-1640.163,-17280.0,2050.204,21600.003,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
0202K1F3P3R3,0202,B02,2,2,F03,3,-0.001640163,0.002050204,1e-06,-1640.163,-17280.0,2050.204,21600.003,1.0,10.536,-1742.6731853068734,-1537.6528146931266,1947.6938146931268,2152.714185306874,"-1742.7,1947.7,-1537.7,2152.7"
