,filter_type,columns,rows_initial,rows_removed,threshold,rows,Plate_Number
82,Cell:Nuclear Area Ratio Filter Bottom Band,3455,14007,163,Bottom threshold: 1.9243336199484091,13844.0,Plate 3
83,Cell:Nuclear Area Ratio Filter Top Band,3455,13844,26,Top threshold: 20.530685742771166,13818.0,Plate 3
84,Cell Eccentricity Filter Bottom Band,3455,13818,196,Bottom threshold: 0.4542413516744716,13540.0,Plate 3
85,Cell Eccentricity Filter,3455,13818,82,Top threshold: 0.9934239864299939,13540.0,Plate 3
86,Nuclear Eccentricity Filter Bottom Band,3455,13540,229,Bottom threshold: 0.4526738014352,13302.0,Plate 3
87,Nuclear Eccentricity Filter Top Band,3455,13540,9,Top threshold: 0.9525365954701192,13302.0,Plate 3
88,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,13302,1451,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,11851.0,Plate 3
89,Number Of Nuclei Neighbours < 97.5th Percentile,3455,11851,21,Max Number Of Nuclei Neighbours: 1.0,11830.0,Plate 3
90,Initial Dataset,3455,7019,0,"None,None",,Plate 1
91,Min Number of Mitochondria Filter,3455,7019,1,min_compartments=0,7018.0,Plate 1
92,Min Number of Lysosomes Filter,3455,7018,1,min_compartments=0,7017.0,Plate 1
93,Cell Size Filter Bottom Band,3455,7017,61,Bottom threshold: 22768.0,6955.0,Plate 1
94,Cell Size Filter Top Band,3455,7017,1,Top threshold: 1254046.5,6955.0,Plate 1
95,Nuclear Size Filter Bottom Band,3455,6955,62,Bottom threshold: 9340.0,6890.0,Plate 1
96,Nuclear Size Filter Top Band,3455,6955,3,Top threshold: 98385.75,6890.0,Plate 1
97,Cell:Nuclear Area Ratio Filter Bottom Band,3455,6890,119,Bottom threshold: 1.9243336199484091,6771.0,Plate 1
98,Cell:Nuclear Area Ratio Filter Top Band,3455,6771,2,Top threshold: 20.530685742771166,6769.0,Plate 1
99,Cell Eccentricity Filter Bottom Band,3455,6769,102,Bottom threshold: 0.4542413516744716,6604.0,Plate 1
100,Cell Eccentricity Filter,3455,6769,63,Top threshold: 0.9934239864299939,6604.0,Plate 1
101,Nuclear Eccentricity Filter Bottom Band,3455,6604,146,Bottom threshold: 0.4526738014352,6455.0,Plate 1
102,Nuclear Eccentricity Filter Top Band,3455,6604,3,Top threshold: 0.9525365954701192,6455.0,Plate 1
103,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3455,6455,450,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,6005.0,Plate 1
104,Number Of Nuclei Neighbours < 97.5th Percentile,3455,6005,11,Max Number Of Nuclei Neighbours: 1.0,5994.0,Plate 1
