,filter_type,columns,rows_initial,rows_removed,threshold,rows,PlateNumber
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3045,18337,18337,Max Number Of Neighbours: 0.0,0.0,Plate 5
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3045,18337,0,Max Number Of Nuclei Neighbours: 0.0,18337.0,Plate 5
Initial_Dataset,Initial Dataset,3045,14573,0,"None,None",,Plate 6
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3045,14573,0,min_compartments=0,14573.0,Plate 6
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3045,14573,0,min_compartments=0,14573.0,Plate 6
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3045,14573,274,Bottom threshold: 14673.4,14283.0,Plate 6
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3045,14573,16,Top threshold: 1154459.7999999977,14283.0,Plate 6
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3045,14573,263,Bottom threshold: 7067.3,14279.0,Plate 6
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3045,14573,31,Top threshold: 89616.59999999995,14279.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3045,14573,533,Bottom threshold: 1.6164851817503756,14040.0,Plate 6
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3045,14573,579,Top threshold: 22.160058147992746,13994.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3045,14573,1,Bottom threshold: 0.0341946799015547,14572.0,Plate 6
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3045,14573,25,Top threshold: 2.5,14548.0,Plate 6
Cell_Neighbours_Filter,First Closest Neighbour distance < 0.025th percentile (97.5th closest distance) or == 0 (no neighbours),3045,14573,331,Min closest neighbour distance: 134.65146537199365,14242.0,Plate 6
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3045,14573,14573,Max Percent Touching: 0.0,0.0,Plate 6
