,filter_type,columns,rows_initial,rows_removed,threshold,rows,AllGroups
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,10985,279,Top threshold: 20.530685742771166,10706.0,P22-24
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,10985,1,Bottom threshold: 0.022647335420586917,10984.0,P22-24
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,10985,19,Top threshold: 2.5,10966.0,P22-24
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,10985,512,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,10473.0,P22-24
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,10985,276,Max Percent Touching: 65.82167832167832,10709.0,P22-24
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,10985,335,Max Number Of Neighbours: 4.0,10650.0,P22-24
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,10985,23,Max Number Of Nuclei Neighbours: 1.0,10962.0,P22-24
Initial_Dataset,Initial Dataset,3471,7200,0,"None,None",,P25-27
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,7200,3,min_compartments=0,7197.0,P25-27
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,7200,2,min_compartments=0,7198.0,P25-27
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,7200,102,Bottom threshold: 22768.0,7095.0,P25-27
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,7200,3,Top threshold: 1254046.5,7095.0,P25-27
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,7200,183,Bottom threshold: 9340.0,7007.0,P25-27
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,7200,10,Top threshold: 98385.75,7007.0,P25-27
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,7200,154,Bottom threshold: 1.9243336199484091,7046.0,P25-27
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,7200,183,Top threshold: 20.530685742771166,7017.0,P25-27
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,7200,1,Bottom threshold: 0.0349245300249584,7199.0,P25-27
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,7200,12,Top threshold: 2.5,7188.0,P25-27
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,7200,448,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,6752.0,P25-27
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,7200,227,Max Percent Touching: 65.82167832167832,6973.0,P25-27
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,7200,300,Max Number Of Neighbours: 4.0,6900.0,P25-27
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,7200,17,Max Number Of Nuclei Neighbours: 1.0,7183.0,P25-27
Initial_Dataset,Initial Dataset,3471,5082,0,"None,None",,P28-31
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,5082,2,min_compartments=0,5080.0,P28-31
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,5082,0,min_compartments=0,5082.0,P28-31
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,5082,63,Bottom threshold: 22768.0,5018.0,P28-31
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,5082,1,Top threshold: 1254046.5,5018.0,P28-31
Nuclei_AreaShape_Area_Filter_Bottom,Nuclear Size Filter Bottom Band,3471,5082,76,Bottom threshold: 9340.0,5002.0,P28-31
Nuclei_AreaShape_Area_Filter_Top,Nuclear Size Filter Top Band,3471,5082,4,Top threshold: 98385.75,5002.0,P28-31
Cell_Nuclei_Area_Ratio_Filter_Bottom,Cell:Nuclear Area Ratio Filter Bottom Band,3471,5082,348,Bottom threshold: 1.9243336199484091,4734.0,P28-31
Cell_Nuclei_Area_Ratio_Filter_Top,Cell:Nuclear Area Ratio Filter Top Band,3471,5082,362,Top threshold: 20.530685742771166,4720.0,P28-31
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Bottom,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Bottom Band,3471,5082,1,Bottom threshold: 0.041753526356213655,5081.0,P28-31
Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized_Filter_Top,Nuclei Intensity MedianIntensity DAPI MAX WellNormalized Filter Top Band,3471,5082,15,Top threshold: 2.5,5067.0,P28-31
Cell_Neighbours_Filter,Percent of Cell Touching Neighbours AND Number Of Neighbours < 97.5th Percentile,3471,5082,965,Max Percent Touching: 65.82167832167832 and Max Number Of Neighbours: 4.0,4117.0,P28-31
Cell_Neighbours_PercentTouchingOnlyFilter,Percent of Cell Touching Neighbours < 97.5th Percentile,3471,5082,562,Max Percent Touching: 65.82167832167832,4520.0,P28-31
Cell_Neighbours_NumberOfOnlyFilter,Number Of Neighbours < 97.5th Percentile,3471,5082,736,Max Number Of Neighbours: 4.0,4346.0,P28-31
Nuc_Neighbours_Filter,Number Of Nuclei Neighbours < 97.5th Percentile,3471,5082,83,Max Number Of Nuclei Neighbours: 1.0,4999.0,P28-31
Initial_Dataset,Initial Dataset,3471,970,0,"None,None",,P32-35
Number_of_Mitochondria_Filter,Min Number of Mitochondria Filter,3471,970,1,min_compartments=0,969.0,P32-35
Number_of_Lysosomes_Filter,Min Number of Lysosomes Filter,3471,970,0,min_compartments=0,970.0,P32-35
AreaShape_Area_Filter_Bottom,Cell Size Filter Bottom Band,3471,970,8,Bottom threshold: 22768.0,953.0,P32-35
AreaShape_Area_Filter_Top,Cell Size Filter Top Band,3471,970,9,Top threshold: 1254046.5,953.0,P32-35
