,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
11,P11-13,2,1682.0,33356.46271390546,9821.989763943655,3061.2286658653848,15979.718126761652,18168.2828323667,20424.798696211612,22109.74815407529,26602.949985284482,32011.1419169125,38424.87405438491,46264.19785980673,51657.9644768676,56487.61682305353,62038.78711611098,92140.94576116682
12,P11-13,7,1455.0,46859.94986938906,15788.246035595379,9865.600920559154,19028.175344085033,21917.773795086458,25497.01501774194,29012.634481366385,35961.88339295242,44570.777196464005,55118.47164816857,67628.84983449007,74959.00843455344,82739.97351436278,93344.19578192855,151288.02998046874
13,P14-16,4,1439.0,29748.07943932246,10286.576179916312,2242.6876521487625,9285.521248812602,13346.446561843095,15810.134487487245,18094.682920231942,22734.72078324569,28294.63290000817,35409.8263185723,43691.25909717279,48736.37171105171,52420.622376105355,59603.815726843735,90521.45774291498
14,P14-16,1,1281.0,33233.23975804767,12589.956444845107,2027.351789871944,9156.591846455705,12808.823588358311,15739.032992066896,18586.880230686696,24102.432766317736,31650.52469879518,40786.42087765958,50189.00882739623,56235.32474922839,61655.41947014298,67347.53699980339,90565.31097931872
15,P14-16,2,1908.0,27691.130562758564,7900.901718600597,8182.483144263699,13202.52963094363,15721.16397300826,17150.636763504874,18960.376326500227,22489.545064838443,26627.357855636077,31849.726572547253,37250.30512695258,41907.33811183486,45744.60293177438,52689.646041415115,108461.44001182032
16,P14-16,7,1789.0,41097.03666965936,15182.464437569974,2418.401756007394,16586.284519724344,19491.927898980266,22644.972611880818,25657.594313215643,30825.904801065164,38620.36004901961,48892.187815366975,60584.99257130775,67230.07001428759,73170.83785457278,82600.22075175124,214727.83319161
17,P14-16,5,2180.0,19610.701131212187,6377.64933552963,3194.156494140625,7865.49602912454,9607.315055595407,10856.361049241426,12505.714214201282,15110.54031945447,18699.31542460705,22966.31915062401,28651.287260251393,31982.980725230325,35745.402438429526,38129.86625937576,45584.46415441176
18,P14-16,3,3538.0,26196.143792085197,8648.772667665737,6486.061171858882,11114.374912488543,12771.188597977658,14346.558537557594,16332.378604002133,20276.097665330333,25322.193670877088,30855.130599539978,36939.34458858946,40905.891499629295,44930.86115767342,50395.64302470677,113471.68015546411
19,P17-19,6,2111.0,17531.231752102874,6207.293533025958,1040.2761879049676,6231.540156027052,7735.996708886395,9049.083319989039,10594.679497216424,13345.005447116162,16777.4679526749,20724.8397818501,25191.174963765832,29019.169266012745,32819.760505482125,36837.52008956203,50063.11044034091
20,P17-19,1,687.0,30258.210734002787,13627.82228096542,2044.5632092710136,8455.349187934817,11500.613497820259,13128.462768376798,16188.295966437208,20479.382271760544,27584.00960010593,37477.79780012733,48262.13967002781,57131.08603101696,65235.47250098362,74187.27894522039,85280.55746539596
21,P17-19,4,1429.0,25644.019391507296,10607.355625111612,1883.5280720338983,5780.905312885831,8528.815540618603,11155.591262982654,13978.912146745964,18290.038146692863,24239.149714285715,31450.095214412024,39497.23511724883,44977.46613491014,49518.8121285,54996.696270694265,118971.15196526507
22,P17-19,3,2527.0,21346.891728228275,7928.230376931456,1576.7339743589744,8729.401256885718,10193.669388786495,11505.50461455416,13109.921750637517,16086.76497086178,19913.358921370967,25340.815777479118,31070.391056765933,34786.77813479515,39716.611414067236,47584.15155633975,99219.2417543021
23,P17-19,2,1323.0,30592.954725971693,10507.368284009208,1960.363950276243,10454.040046028844,15091.991000677706,16988.63391743892,19559.012105177517,23779.11996857378,28922.012070446737,35974.22940106522,43699.27088756262,48910.05335983098,53381.685167745876,62593.83440745595,146487.20428679817
24,P17-19,5,796.0,14843.554555367924,5913.61565746973,1505.6088933905307,4987.912823275862,6102.85672332359,7304.561892527259,8530.494346960926,10615.297254139417,13747.724241567565,17819.116770089462,22288.942582171196,26386.39445296222,29095.19878935789,33268.79703369337,42160.36660958904
25,P17-19,7,1205.0,39654.44722035631,16158.961961678353,1503.3197917756618,14244.3276542065,17405.71376379557,19678.27616030819,23009.29611046631,29349.00763157895,36412.52257969303,46356.40254088272,61020.51626006186,69805.41164749229,79139.20090971868,91161.57836024402,170509.92109728506
26,P20-22,7,1035.0,31402.748089397333,11612.467329489016,2041.0362813884783,10777.768182190563,13795.764037720264,15991.114873061066,18666.373418811934,23333.59870752899,29611.01988083657,38024.487690880334,46521.48524885517,53557.01358386637,60731.055692495516,66592.24170425857,79132.27418108776
27,P20-22,6,111.0,12136.785793788215,5489.068820948322,1005.6018093049972,1161.9733567953822,3016.3062954943816,5015.337751214007,6313.570545628036,8638.208453421985,11221.117168491484,15277.498123865342,19825.202787769784,22783.908634988944,25755.66099433755,26534.526825142788,26574.784014774094
28,P20-22,4,1942.0,36060.86848632006,12601.738208963696,2219.193514644352,10569.341317249342,15764.56121103718,17960.460750207363,21060.835489087753,27167.00729715781,35074.78269489591,43634.00478384939,52365.693176769986,58891.13458267866,63585.13309367949,70655.90592070327,106426.68349358976
29,P20-22,5,2271.0,18202.923070047007,5992.675750171535,3800.65,7447.208834584057,9174.945989095972,10183.570220834623,11663.460882867132,14216.281630241283,17319.44715598609,21302.781303261265,25834.42141497462,29062.730423178473,32038.434016345498,36448.77977936265,58436.184330427895
30,P20-22,2,749.0,29347.06448124299,10774.230676459958,1248.2224475997295,5572.604404388715,12931.105208852836,15090.147390037197,18106.199949728165,22301.83581807888,27838.501559900167,34939.57423006761,42662.69254416332,49785.36838132817,54268.20456656241,60132.68814275187,98845.12357229648
31,P20-22,3,1224.0,18671.900638916446,6637.826559058982,1120.75,6030.821494031145,8234.796488206866,9565.137240177692,10914.397502516793,14091.235414213166,17848.97231269947,22428.529375424663,27442.115355492544,31028.011360963337,34024.875311749005,37484.32105000546,47156.06397482957
